id,日期,录播来源,录播片段编号,起始时间点,结束时间点,歌名,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,谁切的,有没有第二版本,,
W1,,,,00:00:00.000,00:04:02.100,我爱她,,,呜米,完整,普通话,,,TRUE,,FALSE,,
H1,,,,00:00:00.0,00:04:20.100,交织together,,,Hanser;泠鸢yousa ,完整,普通话,,,TRUE,,FALSE,,
H2,,,,00:00:00.0,00:03:15.000,ddiction,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H3,,,,00:00:00.0,00:03:44.000,Bunny Jump,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H4,,,,00:00:00.0,00:03:00.000,Cyberangel,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H5,,,,00:00:00.0,00:03:14.000,Rubia,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H6,,,,00:00:00.0,00:03:29.000,ハレハレヤ,朗朗晴天,,Hanser,完整,日语,,,TRUE,,FALSE,,
H7,,,,00:00:00.0,00:02:41.000,吃货也想谈恋爱,,,Hanser,完整,普通话,,,TRUE,,FALSE,,
H8,,,,00:00:00.0,00:03:04.000,勾指起誓,,,Hanser,完整,普通话,,,TRUE,,FALSE,,
H9,,,,00:00:00.0,00:03:26.000,恋爱吧 魔法少女,,,Hanser,完整,普通话,,,TRUE,,FALSE,,
H10,,,,00:00:00.0,00.01.30.000,恋爱循环,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H11,,,,00:00:00.0,00.03.32.000,芒种,,,Hanser,完整,普通话,,,TRUE,,FALSE,,
H12,,,,00:00:00.0,00.03.56.000,猫耳开关,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H13,,,,00:00:00.0,00.04.07.000,拼凑的断音,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H14,,,,00:00:00.0,00.03.18.000,室内系的TrackMaker,室内系,,Hanser,完整,普通话,,,TRUE,,FALSE,,
H15,,,,00:00:00.0,00.03.45.000,我的悲伤是水做的,,,Hanser,完整,日语,,,TRUE,,FALSE,,
H16,,,,00:00:00.0,00.04.04.000,PONPONPON,,,Hanser、花園セレナ,完整,日语,,,TRUE,,FALSE,,
H17,,,,00:00:00.0,00.03.45.000,让风告诉你,,,Hanser;泠鸢yousa ,完整,日语,,,TRUE,,FALSE,,
H18,,,,00:00:00.0,00.04.28.00,吉祥话,,,Hanser、泠鸢yousa、祖娅纳惜、鹿乃,完整,日语,,,TRUE,,FALSE,,
H19,,,,00:00:00.0,00.03.49.000,drop pop candy,,,Hanser、鹿乃,完整,普通话,,,TRUE,,FALSE,,
H20,,,,00:00:00.0,00.03.04.000,漆夜雪,,,Hanser、泡泡,完整,日语,,,TRUE,,FALSE,,
H21,,,,00:00:00.0,00.04.11.000,summertime,,,Hanser、三无MarBlue,完整,日语,,,TRUE,,FALSE,,
H22,,,,00:00:00.0,00.04.09.000,群青,,,Hanser、小缘; ,完整,日语,,,TRUE,,FALSE,,
H23,,,,00:00:00.0,00.03.36.000,约会宣言,,,iKz、Hanser; ,完整,普通话,,,TRUE,,FALSE,,
H24,,,,00:00:00.0,00.03.30.000,1001夜,,,KBShinya、Hanser; ,完整,普通话,,,TRUE,,FALSE,,
H25,,,,00:00:00.0,00.03.27.000,失眠飞行,,,KBShinya、Hanser; ,完整,普通话,,,TRUE,,FALSE,,
H26,,,,00:00:00.0,00.03.56.000,一梦忘川,,,KBShinya、三无MarBlue、Hanser、哦漏、祖娅纳惜; ,完整,普通话,,,TRUE,,FALSE,,
H27,,,,00:00:00.0,00.03.57.000,Wish You,,,KBShinya、萧忆情Alex、西瓜JUN、哦漏、少恭; ,完整,普通话,,,TRUE,,FALSE,,
H28,,,,00:00:00.0,00.03.43.000,不负韶光,,,Q酱、Hanser; ,完整,普通话,,,TRUE,,FALSE,,
H29,,,,00:00:00.0,00.03.24.000,Moon Halo,,,茶理理、TetraCalyx、Hanser、HOYO-MiX; ,完整,英语,,,TRUE,,FALSE,,
H30,,,,00:00:00.0,00.03.25.000,怪物,,,多多poi、Hanser; ,完整,日语,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
,,,,00:00:00.0,,,,,,完整,,,,TRUE,,FALSE,,
